gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
001161,20101231,2010,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4964.0000,6494.0000,6494.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20111231,2011,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4954.0000,6568.0000,6568.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20121231,2012,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4000.0000,5422.0000,5422.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20131231,2013,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4337.0000,5299.0000,5299.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20141231,2014,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3767.0000,5506.0000,5506.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20151231,2015,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3109.0000,3991.0000,3991.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20161231,2016,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3321.0000,4272.0000,4272.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20171231,2017,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,3540.0000,5329.0000,5329.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20181231,2018,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,4556.0000,6475.0000,6475.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20191231,2019,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,6028.0000,6731.0000,6731.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001161,20201231,2020,INDL,C,D,STD,AMD,007903107,ADVANCED MICRO DEVICES,USD,12,8962.0000,9763.0000,9763.0000,0000002488,A,4530,453010,45,45301020,334413,3674
001327,20100930,2010,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1564.0520,1071.8490,1071.8490,0000004127,A,4530,453010,45,45301020,334413,3674
001327,20110930,2011,INDL,C,D,STD,SWKS,83088M102,SKYWORKS SOLUTIONS INC,USD,9,1890.3890,1418.9220,1418.9220,0000004127,A,4530,453010,45,45301020,334413,3674
