gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind
001004,20110531,2010,INDL,C,D,STD,AIR,AAR CORP,USD,1703.7270,1775.7820,1775.7820,0000001750,A,2010,201010,20,20101010
001004,20120531,2011,INDL,C,D,STD,AIR,AAR CORP,USD,2195.6530,2074.4980,2074.4980,0000001750,A,2010,201010,20,20101010
001004,20130531,2012,INDL,C,D,STD,AIR,AAR CORP,USD,2136.9000,2167.1000,2167.1000,0000001750,A,2010,201010,20,20101010
001004,20140531,2013,INDL,C,D,STD,AIR,AAR CORP,USD,2199.5000,2035.0000,2035.0000,0000001750,A,2010,201010,20,20101010
001004,20150531,2014,INDL,C,D,STD,AIR,AAR CORP,USD,1515.0000,1594.3000,1594.3000,0000001750,A,2010,201010,20,20101010
001004,20160531,2015,INDL,C,D,STD,AIR,AAR CORP,USD,1442.1000,1662.6000,1662.6000,0000001750,A,2010,201010,20,20101010
001004,20170531,2016,INDL,C,D,STD,AIR,AAR CORP,USD,1504.1000,1767.6000,1767.6000,0000001750,A,2010,201010,20,20101010
001004,20180531,2017,INDL,C,D,STD,AIR,AAR CORP,USD,1524.7000,1748.3000,1748.3000,0000001750,A,2010,201010,20,20101010
001004,20190531,2018,INDL,C,D,STD,AIR,AAR CORP,USD,1517.2000,2051.8000,2051.8000,0000001750,A,2010,201010,20,20101010
001004,20200531,2019,INDL,C,D,STD,AIR,AAR CORP,USD,2079.0000,2089.3000,2089.3000,0000001750,A,2010,201010,20,20101010
001045,20101231,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,25088.0000,22170.0000,22170.0000,0000006201,A,2030,203020,20,20302010
001045,20111231,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,23848.0000,24022.0000,24022.0000,0000006201,A,2030,203020,20,20302010
001045,20121231,2012,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,23510.0000,24855.0000,24855.0000,0000006201,A,2030,203020,20,20302010
001045,20131231,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,42278.0000,26712.0000,26712.0000,0000006201,A,2030,203020,20,20302010
001045,20141231,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,43771.0000,42650.0000,42650.0000,0000006201,A,2030,203020,20,20302010
001045,20151231,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,48415.0000,40990.0000,40990.0000,0000006201,A,2030,203020,20,20302010
001045,20161231,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,51274.0000,40180.0000,40180.0000,0000006201,A,2030,203020,20,20302010
001045,20171231,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,51396.0000,42207.0000,42207.0000,0000006201,A,2030,203020,20,20302010
001045,20181231,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,60580.0000,44541.0000,44541.0000,0000006201,A,2030,203020,20,20302010
001045,20191231,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,59995.0000,45768.0000,45768.0000,0000006201,A,2030,203020,20,20302010
001045,20201231,2020,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,62008.0000,17337.0000,17337.0000,0000006201,A,2030,203020,20,20302010
001050,20101231,2010,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,74.7910,140.6020,140.6020,0000003197,A,2020,202010,20,20201050
001050,20111231,2011,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,79.3450,139.1920,139.1920,0000003197,A,2020,202010,20,20201050
001050,20121231,2012,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,94.1040,135.0520,135.0520,0000003197,A,2020,202010,20,20201050
001050,20131231,2013,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,348.5360,197.3170,197.3170,0000003197,A,2020,202010,20,20201050
001050,20141231,2014,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,414.3650,263.2170,263.2170,0000003197,A,2020,202010,20,20201050
001050,20151231,2015,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,598.8190,367.4220,367.4220,0000003197,A,2020,202010,20,20201050
001050,20161231,2016,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,498.6340,417.0110,417.0110,0000003197,A,2020,202010,20,20201050
001050,20171231,2017,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,438.5490,345.0510,345.0510,0000003197,A,2020,202010,20,20201050
001050,20181231,2018,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,392.5820,337.3390,337.3390,0000003197,A,2020,202010,20,20201050
001050,20191231,2019,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,408.6370,341.8690,341.8690,0000003197,A,2020,202010,20,20201050
001050,20201231,2020,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,419.3140,316.0110,316.0110,0000003197,A,2020,202010,20,20201050
001075,20101231,2010,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12362.7030,3263.6450,3263.6450,0000764622,A,5510,551010,55,55101010
001075,20111231,2011,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13111.0180,3241.3790,3241.3790,0000764622,A,5510,551010,55,55101010
001075,20121231,2012,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13379.6150,3301.8040,3301.8040,0000764622,A,5510,551010,55,55101010
001075,20131231,2013,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,13508.6860,3454.6280,3454.6280,0000764622,A,5510,551010,55,55101010
001075,20141231,2014,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,14313.5320,3491.6320,3491.6320,0000764622,A,5510,551010,55,55101010
001075,20151231,2015,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,15028.2580,3495.4430,3495.4430,0000764622,A,5510,551010,55,55101010
001075,20161231,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,16004.2530,3498.6820,3498.6820,0000764622,A,5510,551010,55,55101010
001075,20171231,2017,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,17019.0820,3565.2960,3565.2960,0000764622,A,5510,551010,55,55101010
001075,20181231,2018,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,17664.2020,3691.2470,3691.2470,0000764622,A,5510,551010,55,55101010
