gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup,gind,gsector,gsubind,naics,sic
001004,20200531,2019,INDL,C,D,STD,AIR,AAR CORP,USD,A,2010,201010,20,20101010,423860,5080
001045,20191231,2019,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,A,2030,203020,20,20302010,481111,4512
001050,20191231,2019,INDL,C,D,STD,CECE,CECO ENVIRONMENTAL CORP,USD,A,2020,202010,20,20201050,333413,3564
001075,20191231,2019,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,A,5510,551010,55,55101010,2211,4911
001076,20191231,2019,INDL,C,D,STD,PRG,PROG HOLDINGS INC,USD,A,4020,402020,40,40202010,522220,6141
001078,20191231,2019,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,A,3510,351010,35,35101010,334510,3845
001161,20191231,2019,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,A,4530,453010,45,45301020,334413,3674
001209,20190930,2019,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,A,1510,151010,15,15101040,325120,2810
001230,20191231,2019,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,A,2030,203020,20,20302010,481111,4512
001234,20191231,2019,INDL,C,D,STD,ATRI,ATRION CORP,USD,A,3510,351010,35,35101020,339112,3841
001254,20191231,2019,INDL,C,D,STD,MATX,MATSON INC,USD,A,2030,203030,20,20303010,483113,4400
001257,20191231,2019,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,A,6010,601010,60,60101070,531120,6798
001266,20190930,2019,INDL,C,D,STD,ALCO,ALICO INC,USD,A,3020,302020,30,30202010,111310,0100
001274,20191231,2019,INDL,C,D,STD,Y,ALLEGHANY CORP,USD,A,4030,403010,40,40301050,524126,6331
001300,20191231,2019,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,A,2010,201050,20,20105010,336413,9997
001327,20190930,2019,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,A,4530,453010,45,45301020,334413,3674
001380,20191231,2019,INDL,C,D,STD,HES,HESS CORP,USD,A,1010,101020,10,10102020,2111,1311
001393,20200331,2019,INDL,C,D,STD,UHAL,AMERCO,USD,A,2030,203040,20,20304020,532120,7510
001410,20191031,2019,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,A,2020,202010,20,20201050,561720,7340
001414,20191231,2019,INDL,C,D,STD,PRI,PRIMERICA INC,USD,A,4030,403010,40,40301020,524113,6311
001439,20191231,2019,INDL,C,D,STD,ECOL,US ECOLOGY INC,USD,A,2020,202010,20,20201050,562211,4955
001440,20191231,2019,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,A,5510,551010,55,55101010,2211,4911
